transaction_id,store_id,sale_date,product_category,quantity,supplier,region,unit_cost,unit_price,inventory_level,labour_hours,labour_cost,revenue,gross_profit
T002361,S26,2025-05-01,Apparel,2,StyleHub,West,27.23,57.06,16.0,3.94,139.14,114.12,59.66
T001317,S05,2025-06-29,Grocery,2,FreshFarm,East,8.13,13.36,106.0,5.43,125.27,26.72,10.46
T001020,S05,2025-02-23,Electronics,3,NorthStar,East,209.89,268.79,37.0,4.38,120.75,806.37,176.7
T002762,S17,2025-01-27,Apparel,,StyleHub,North,27.3,60.56,145.0,3.24,83.71,,
T002087,S30,2025-06-29,Grocery,,FreshFarm,West,8.87,14.84,21.0,5.3,154.16,,
T000933,S15,2025-05-03,Apparel,6,StyleHub,East,27.53,60.89,153.0,2.79,76.3,365.34,200.16
T000548,S12,2025-01-04,Electronics,3,NorthStar,South,177.04,239.73,107.0,4.23,104.29,719.19,188.07
T000308,S22,2025-05-28,Grocery,4,FreshFarm,South,8.27,12.63,151.0,3.99,117.99,50.52,17.44
T000521,S14,2025-04-20,Grocery,2,FreshFarm,West,7.89,11.74,39.0,5.42,183.35,23.48,7.7
T002038,S11,2025-06-20,Electronics,4,NorthStar,South,245.84,328.02,108.0,4.52,119.04,1312.08,328.72
T002339,S30,2025-01-04,Grocery,7,FreshFarm,West,9.39,14.09,32.0,3.05,81.67,98.63,32.9
T000602,S16,2025-03-21,Electronics,6,NorthStar,South,221.06,278.97,95.0,4.05,112.61,1673.82,347.46
T001955,S27,2025-01-19,Beauty,1,GlowWorks,West,18.88,42.46,,5.52,163.15,42.46,23.58
T002440,S26,2025-01-19,Apparel,2,StyleHub,West,30.89,58.15,49.0,6.16,146.58,116.3,54.52
T001032,S02,2025-06-23,Apparel,5,StyleHub,South,29.73,62.59,145.0,4.3,98.61,312.95,164.3
T000277,S06,2025-01-27,Beauty,1,GlowWorks,East,18.4,39.62,83.0,6.58,172.7,39.62,21.22
T000435,S17,2025-03-06,Grocery,1,FreshFarm,North,7.36,10.6,33.0,4.22,112.53,10.6,3.24
T002394,S30,2025-01-19,Grocery,2,FreshFarm,West,8.28,11.58,47.0,5.71,155.39,23.16,6.6
T002656,S11,2025-04-22,Apparel,5,StyleHub,South,25.84,53.42,33.0,5.05,143.07,267.1,137.9
T002838,S02,2025-03-05,Grocery,5,FreshFarm,South,8.25,13.58,87.0,5.1,129.37,67.9,26.65
T000960,S11,,Apparel,2,StyleHub,South,25.8,53.51,131.0,3.01,90.63,107.02,55.42
T000224,S01,2025-03-22,Beauty,8,GlowWorks,East,17.24,37.82,78.0,4.18,103.81,302.56,164.64
T002585,S19,2025-04-14,Sports,6,ActivePro,South,53.28,103.18,49.0,5.15,116.63,619.08,299.4
T001539,S22,2025-04-02,Home,1,BudgetSource,South,47.42,95.75,38.0,5.5,133.5,95.75,48.33
T002230,S13,2025-06-07,Sports,3,ActivePro,East,53.45,100.78,21.0,3.92,114.26,302.34,141.99
T002136,S26,2025-06-29,Apparel,1,StyleHub,West,30.79,61.27,26.0,2.93,84.86,61.27,30.48
T001620,S17,2025-03-14,Beauty,2,GlowWorks,North,15.33,32.92,133.0,5.74,122.18,65.84,35.18
T001631,S07,2025-05-31,Electronics,4,NorthStar,North,262.13,367.99,50.0,4.38,111.26,1471.96,423.44
T000900,S06,2025-03-25,Beauty,6,GlowWorks,East,18.97,44.13,128.0,3.68,99.03,264.78,150.96
T001519,S04,2025-03-17,Apparel,3,StyleHub,East,,79.33,42.0,3.61,113.62,237.99,
T002817,S29,2025-04-25,Beauty,6,GlowWorks,West,18.75,43.89,48.0,4.25,127.2,263.34,150.84
T002882,S19,2025-02-08,Food,3,FreshFarm,South,7.04,10.79,95.0,6.71,154.98,32.37,11.25
T002359,S17,2025-06-22,Grocery,6,FreshFarm,North,8.99,14.32,97.0,5.52,126.16,85.92,31.98
T000502,S08,2025-05-04,Electronics,3,NorthStar,South,240.48,306.7,153.0,4.73,118.83,920.1,198.66
T001647,S23,2025-02-06,Beauty,2,GlowWorks,South,20.41,47.16,116.0,3.57,103.46,94.32,53.5
T000799,S13,,Apparel,2,StyleHub,East,31.45,69.58,81.0,4.93,114.58,139.16,76.26
T001443,S02,2025-02-05,Electronics,2,NorthStar,South,231.42,312.01,103.0,5.84,155.43,624.02,161.18
T000089,S29,2025-01-19,Electronics,1,NorthStar,West,235.43,312.45,32.0,4.54,143.44,312.45,77.02
T000893,S27,2025-05-22,Beauty,1,GlowWorks,West,18.75,41.65,42.0,4.98,137.68,41.65,22.9
T001315,S06,2025-04-11,Electronics,3,NorthStar,East,235.94,312.92,83.0,4.8,101.63,938.76,230.94
T001777,S06,2025-04-16,Beauty,1,GlowWorks,East,17.26,39.47,110.0,4.72,128.29,39.47,22.21
T001001,S09,2025-01-30,Grocery,9,FreshFarm,East,7.33,10.72,110.0,5.91,125.63,96.48,30.51
T000042,S12,2025-05-10,Grocery,4,FreshFarm,South,9.27,13.51,154.0,4.22,90.92,54.04,16.96
T000076,S20,2025-02-24,Electronics,4,NorthStar,South,240.26,297.57,35.0,4.9,95.93,1190.28,229.24
T001384,S18,2025-02-09,Sports,3,ActivePro,West,51.92,117.18,59.0,7.53,185.88,351.54,195.78
T001008,S15,2025-05-04,Grocery,5,FreshFarm,East,7.28,10.42,131.0,4.78,134.24,52.1,15.7
T002917,S05,2025-06-22,Home,2,BudgetSource,East,42.45,75.79,52.0,5.66,142.08,151.58,66.68
T000317,S21,2025-06-03,Electronics,3,NorthStar,North,276.17,363.18,82.0,3.67,90.0,1089.54,261.03
T000231,S09,2025-02-25,Electronics,3,NorthStar,East,258.35,368.22,47.0,2.58,61.09,1104.66,329.61
T000659,S25,2025-02-10,Food,2,FreshFarm,West,8.9,15.72,34.0,4.89,140.31,31.44,13.64
T002070,S17,2025-06-09,Apparel,2,StyleHub,North,27.74,59.5,148.0,2.26,47.36,119.0,63.52
T000512,S14,2025-04-19,Electronics,7,NorthStar,West,245.84,310.28,29.0,5.41,156.85,2171.96,451.08
T000077,S10,2025-03-09,Apparel,,StyleHub,South,25.35,54.35,19.0,4.56,109.49,,
T002615,S22,2025-06-21,Electronics,1,NorthStar,South,295.93,429.44,68.0,5.14,157.18,429.44,133.51
T002171,S08,2025-05-20,Electronic,4,NorthStar,South,213.0,298.74,149.0,5.32,142.04,1194.96,342.96
T001037,S02,2025-03-06,Grocery,3,FreshFarm,South,8.73,12.74,38.0,5.78,140.78,38.22,12.03
T002433,S27,2025-05-07,Apparel,2,StyleHub,West,28.85,56.37,0.0,5.7,154.62,112.74,55.04
T001693,S08,2025-01-28,Electronics,1,NorthStar,South,,247.22,101.0,6.15,165.26,247.22,
T000242,S03,2025-05-01,Grocery,2,FreshFarm,North,7.01,12.3,51.0,3.4,76.77,24.6,10.58
T002035,S25,2025-03-06,Home,2,BudgetSource,West,55.74,111.58,20.0,3.15,96.71,223.16,111.68
T000019,S02,2025-04-12,Home,3,BudgetSource,South,51.47,91.54,17.0,4.56,143.75,274.62,120.21
T002183,S21,2025-01-26,Apparel,1,StyleHub,North,26.77,54.73,139.0,4.46,86.16,54.73,27.96
T000164,S17,2025-06-29,Electronics,2,NorthStar,North,236.77,338.81,112.0,2.6,62.94,677.62,204.08
T002781,S04,2025-01-15,Home,2,BudgetSource,East,42.01,80.06,136.0,4.17,114.5,160.12,76.1
T002332,S08,2025-01-15,Home,1,BudgetSource,South,42.85,89.66,139.0,3.62,89.48,89.66,46.81
T001135,S11,2025-03-02,Groceries,1,FreshFarm,South,7.67,11.81,111.0,4.21,93.07,11.81,4.14
T000801,S22,2025-02-23,Apparel,5,StyleHub,South,31.68,58.71,104.0,4.11,96.0,293.55,135.15
T000342,S05,2025-04-16,Sports,2,ActivePro,East,40.64,82.2,149.0,2.72,70.95,164.4,83.12
T001044,S17,2025-05-17,Electronics,2,NorthStar,North,237.31,321.06,85.0,4.74,109.54,642.12,167.5
T001225,S04,2025-04-01,Home,7,BudgetSource,East,,70.03,145.0,3.8,85.28,490.21,
T000332,S01,2025-01-10,Home,4,BudgetSource,East,44.88,92.67,121.0,4.57,121.3,370.68,191.16
T001024,S20,2025-04-04,Beauty,,GlowWorks,South,21.37,49.36,95.0,4.42,126.48,,
T002226,S11,2025-03-29,Beauty,6,GlowWorks,South,15.74,38.16,49.0,4.25,102.84,228.96,134.52
T001086,S01,2025-06-22,Sports,2,ActivePro,East,56.99,113.08,104.0,4.06,97.28,226.16,112.18
T001990,S17,2025-05-21,Grocery,9,FreshFarm,North,7.71,11.37,124.0,5.23,136.88,102.33,32.94
T002381,S21,2025-01-21,Grocery,1,FreshFarm,North,8.81,13.04,138.0,3.06,97.85,13.04,4.23
T000928,S18,2025-03-30,Electronics,1,NorthStar,West,207.02,258.92,13.0,4.31,149.5,258.92,51.9
T000027,S26,2025-01-02,Home,2,BudgetSource,West,45.17,91.68,26.0,5.26,183.36,183.36,93.02
T001830,S04,2025-04-11,Electronic,1,NorthStar,East,260.64,330.54,146.0,4.53,96.95,330.54,69.9
T001226,S07,2025-06-18,Beauty,2,GlowWorks,North,19.12,46.12,68.0,,149.36,92.24,54.0
T001734,S22,2025-03-04,Beauty,3,GlowWorks,South,18.84,44.63,31.0,3.94,105.43,133.89,77.37
T000843,S02,2025-06-16,Home Goods,1,BudgetSource,South,,73.92,19.0,3.83,96.85,73.92,
T002430,S08,2025-01-04,Electronics,2,NorthStar,South,183.53,255.78,114.0,3.96,101.31,511.56,144.5
T002393,S02,2025-06-26,Grocery,7,FreshFarm,South,7.71,11.0,119.0,3.67,108.74,77.0,23.03
T000615,S01,2025-05-01,Sports,4,ActivePro,East,51.56,88.07,117.0,2.23,55.16,352.28,146.04
T001084,S06,2025-02-21,Electronics,4,NorthStar,East,204.45,310.65,154.0,4.0,100.01,1242.6,424.8
T000391,S28,2025-04-06,Apparel,6,StyleHub,West,26.02,54.47,54.0,3.87,131.94,326.82,170.7
T001030,S16,2025-05-10,Electronics,4,NorthStar,South,240.36,342.95,80.0,4.64,146.23,1371.8,410.36
T000693,S04,2025-04-06,Grocery,1,FreshFarm,East,8.01,13.7,,4.12,100.27,13.7,5.69
T000724,S05,2025-01-30,Grocery,3,FreshFarm,East,7.26,10.77,88.0,3.63,93.65,32.31,10.53
T000305,S15,2025-04-27,Home,7,BudgetSource,East,46.82,95.03,69.0,5.15,116.88,665.21,337.47
T000315,S26,2025-06-10,Beauty,2,GlowWorks,West,18.9,41.66,50.0,,169.98,83.32,45.52
T000709,S27,2025-06-28,Apparel,1,StyleHub,West,27.61,59.17,23.0,5.27,143.67,59.17,31.56
T001160,S10,2025-02-14,Home,5,BudgetSource,South,53.23,96.29,111.0,4.25,96.14,481.45,215.3
T000809,S16,2025-02-17,Grocery,1,FreshFarm,South,7.9,13.31,12.0,2.96,61.86,13.31,5.41
T002301,S04,2025-05-18,Home,2,BudgetSource,East,50.43,99.26,,5.4,129.02,198.52,97.66
T001263,S30,2025-03-04,Grocery,5,FreshFarm,West,8.64,12.98,7.0,4.69,161.53,64.9,21.7
T001482,S22,2025-06-04,Beauty,9,GlowWorks,South,20.91,51.73,73.0,3.79,108.75,465.57,277.38
T001162,S14,2025-02-05,Grocery,2,FreshFarm,West,8.08,13.25,36.0,3.71,124.62,26.5,10.34
T001985,S14,2025-06-01,Electronic,2,NorthStar,West,319.05,424.08,52.0,2.14,69.84,848.16,210.06
T000921,S28,2025-01-14,Apparel,1,StyleHub,West,25.37,49.94,28.0,4.84,138.32,49.94,24.57
T002049,S17,2025-02-04,Home,2,BudgetSource,North,40.82,79.3,149.0,3.53,89.19,158.6,76.96
T000033,S29,2025-03-17,Apparel,3,StyleHub,West,32.53,62.2,21.0,6.14,199.95,186.6,89.01
T001379,S01,2025-05-19,Electronics,4,NorthStar,East,193.66,262.13,140.0,6.69,158.99,1048.52,273.88
T000940,S13,2025-06-13,Grocery,1,FreshFarm,East,7.48,12.5,29.0,5.11,144.05,12.5,5.02
T001743,S16,2025-02-14,Home,4,BudgetSource,South,51.99,92.91,110.0,4.31,103.06,371.64,163.68
T000177,S16,2025-01-23,Grocery,4,FreshFarm,South,7.63,11.79,133.0,3.1,75.43,47.16,16.64
T001751,S27,2025-05-04,Grocery,2,FreshFarm,West,8.2,13.41,8.0,5.38,140.08,26.82,10.42
T001682,S24,2025-03-14,Home,3,BudgetSource,West,42.83,81.31,0.0,4.63,151.65,243.93,115.44
T002166,S28,2025-04-03,Home,7,BudgetSource,West,49.78,95.82,6.0,3.53,89.3,670.74,322.28
T002936,S20,2025-03-11,Clothing,2,StyleHub,South,28.28,58.0,40.0,3.08,99.92,116.0,59.44
T001524,S06,2025-04-23,Apparel,1,StyleHub,East,,75.8,130.0,2.61,81.42,75.8,
T002115,S10,2025-04-10,Apparel,2,StyleHub,South,28.03,49.46,104.0,4.25,105.65,98.92,42.86
T001772,S23,2025-05-13,Clothing,1,StyleHub,South,27.7,59.32,100.0,5.1,119.59,59.32,31.62
T002265,S03,2025-03-29,Electronics,2,NorthStar,North,282.17,384.37,62.0,4.84,136.24,768.74,204.4
T002402,S09,2025-03-17,Grocery,,FreshFarm,East,8.41,13.3,64.0,2.58,58.22,,
T000561,S13,2025-06-05,Grocery,5,FreshFarm,East,8.71,13.48,93.0,3.57,84.11,67.4,23.85
T000264,S18,2025-04-24,Electronics,1,NorthStar,West,274.63,346.71,42.0,4.9,157.88,346.71,72.08
T001009,S17,2025-05-23,Beauty,1,GlowWorks,North,20.86,46.74,29.0,3.01,72.94,46.74,25.88
T001607,S12,2025-06-10,Electronics,1,NorthStar,South,250.53,325.11,107.0,5.69,136.22,325.11,74.58
T002108,S08,2025-04-23,Beauty,6,GlowWorks,South,19.25,42.61,47.0,4.61,108.42,255.66,140.16
T002704,S04,2025-05-18,Home,1,BudgetSource,East,50.54,96.12,30.0,3.81,85.46,96.12,45.58
T002871,S06,2025-05-03,Beauty,4,GlowWorks,East,17.97,39.32,99.0,4.8,115.14,157.28,85.4
T002034,S17,,Home,2,BudgetSource,North,48.54,90.54,126.0,,110.75,181.08,84.0
T000792,S28,2025-03-02,Electronics,7,NorthStar,West,258.72,347.86,2.0,3.18,101.14,2435.02,623.98
T001917,S03,2025-03-11,Grocery,5,FreshFarm,North,8.07,12.85,46.0,5.02,125.6,64.25,23.9
T002688,S06,2025-04-18,Electronics,7,NorthStar,East,259.57,342.69,136.0,5.12,146.45,2398.83,581.84
T000396,S10,2025-03-05,Electronics,1,NorthStar,South,231.01,291.41,82.0,4.72,117.26,291.41,60.4
T001345,S21,2025-06-24,Grocery,1,FreshFarm,North,7.64,11.5,131.0,3.75,81.44,11.5,3.86
T001210,S29,2025-02-05,Beauty,2,GlowWorks,West,17.48,39.52,27.0,3.68,85.63,79.04,44.08
T002730,S07,2025-02-21,Apparel,2,StyleHub,North,28.47,62.32,18.0,4.91,116.47,124.64,67.7
T000461,S13,2025-04-24,Grocery,2,FreshFarm,East,7.53,12.21,135.0,3.09,84.4,24.42,9.36
T000613,S18,2025-02-14,Electronics,3,NorthStar,West,272.07,350.03,20.0,7.05,246.92,1050.09,233.88
T000215,S12,2025-01-27,Electronics,5,NorthStar,South,250.06,336.75,136.0,5.18,123.54,1683.75,433.45
T000343,S19,2025-03-12,Sports,4,ActivePro,South,56.57,107.68,49.0,3.01,68.49,430.72,204.44
T001274,S12,2025-04-23,Home,2,BudgetSource,South,43.98,85.5,10.0,3.39,99.7,171.0,83.04
T000697,S29,2025-04-26,Beauty,7,GlowWorks,West,17.87,37.54,43.0,3.18,99.76,262.78,137.69
T002167,S18,2025-02-12,Grocery,2,FreshFarm,West,7.66,10.89,38.0,5.5,152.87,21.78,6.46
T001757,S01,2025-04-18,Electronics,3,NorthStar,East,268.25,394.62,148.0,4.91,111.27,1183.86,379.11
T000635,S04,2025-03-25,Beauty,3,GlowWorks,East,18.25,38.86,116.0,5.63,127.29,116.58,61.83
T001510,S20,2025-01-10,Electronics,3,NorthStar,South,247.25,346.24,55.0,6.31,148.72,1038.72,296.97
T000947,S13,2025-06-14,Sports,2,ActivePro,East,42.19,81.88,146.0,6.34,167.66,163.76,79.38
T000295,S22,2025-01-17,Electronics,4,NorthStar,South,219.47,303.47,109.0,4.21,117.73,1213.88,336.0
T000488,S26,2025-01-16,Home,1,BudgetSource,West,39.73,77.03,51.0,3.48,107.5,77.03,37.3
T000720,S06,2025-01-19,Apparel,2,StyleHub,East,29.58,58.31,106.0,3.55,92.06,116.62,57.46
T002805,S01,2025-01-27,Home,1,BudgetSource,East,45.95,82.4,56.0,4.07,91.4,82.4,36.45
T000620,S05,2025-05-13,Apparel,2,StyleHub,East,31.47,61.58,56.0,5.04,124.69,123.16,60.22
T001709,S20,2025-05-15,Beauty,3,GlowWorks,South,19.15,46.84,62.0,2.67,73.5,140.52,83.07
T002678,S06,2025-05-12,Electronics,1,NorthStar,East,272.79,353.41,122.0,4.16,109.25,353.41,80.62
T000068,S02,2025-06-10,Sports,1,ActivePro,South,52.19,100.53,147.0,,148.39,100.53,48.34
T001232,S13,2025-02-21,Grocery,3,FreshFarm,East,7.68,10.91,36.0,3.62,97.08,32.73,9.69
T002242,S11,2025-02-09,Grocery,4,FreshFarm,South,,12.49,155.0,3.94,115.45,49.96,
T001850,S29,2025-05-27,Home,5,BudgetSource,West,45.5,85.86,58.0,5.16,167.99,429.3,201.8
T000754,S27,2025-01-02,Electronics,6,NorthStar,West,252.96,343.94,60.0,4.55,128.85,2063.64,545.88
T002810,S12,2025-02-22,Home,1,BudgetSource,South,46.11,86.97,70.0,5.27,102.94,86.97,40.86
T002571,S13,2025-03-20,Home,6,BudgetSource,East,45.26,88.52,34.0,6.31,131.11,531.12,259.56
T002312,S10,2025-04-18,Groceries,5,FreshFarm,South,9.11,13.26,44.0,4.62,100.77,66.3,20.75
T000256,S21,2025-01-27,Home,4,BudgetSource,North,42.63,80.96,49.0,4.45,124.03,323.84,153.32
T001700,S04,2025-01-25,Grocery,1,FreshFarm,East,7.73,11.47,131.0,4.23,121.34,11.47,3.74
T001921,S18,2025-05-04,Electronics,2,NorthStar,West,242.69,313.8,62.0,,101.35,627.6,142.22
T002199,S26,2025-04-28,Grocery,3,FreshFarm,West,8.69,13.43,56.0,6.66,186.08,40.29,14.22
T001842,S03,2025-02-12,Sports,2,ActivePro,North,51.08,107.09,68.0,5.5,136.31,214.18,112.02
T000334,S29,2025-03-30,Home,4,BudgetSource,West,40.87,71.78,49.0,5.09,135.2,287.12,123.64
T001049,S21,2025-06-02,Groceries,3,FreshFarm,North,7.24,11.38,69.0,3.65,85.99,34.14,12.42
T001690,S17,2025-05-15,Apparel,7,StyleHub,North,29.52,58.78,124.0,4.19,106.73,411.46,204.82
T002450,S14,2025-03-14,Beauty,2,GlowWorks,West,16.07,37.39,15.0,3.49,97.96,74.78,42.64
T002216,S13,2025-04-21,Apparel,3,StyleHub,East,26.97,52.73,83.0,5.68,141.56,158.19,77.28
T000891,S27,2025-06-12,Electronics,,NorthStar,West,329.17,423.47,24.0,4.53,120.36,,
T001071,S03,2025-06-09,Apparel,6,StyleHub,North,29.73,65.27,75.0,5.22,147.34,391.62,213.24
T002027,S22,2025-01-26,Home,2,BudgetSource,South,48.82,85.89,64.0,5.81,137.65,171.78,74.14
T001234,S17,2025-06-05,Grocery,1,FreshFarm,North,6.22,10.19,97.0,2.37,62.34,10.19,3.97
T000988,S16,2025-04-05,Grocery,2,FreshFarm,South,8.93,13.93,112.0,4.21,114.48,27.86,10.0
T001127,S11,2025-02-22,Beauty,1,GlowWorks,South,18.5,39.07,55.0,4.36,115.36,39.07,20.57
T002660,S10,2025-04-29,Electronics,4,NorthStar,South,265.07,347.11,67.0,5.11,131.23,1388.44,328.16
T002270,S16,2025-02-14,Electronics,2,NorthStar,South,267.54,316.46,67.0,5.1,132.35,632.92,97.84
T000149,S11,2025-02-21,Sports,2,ActivePro,South,56.89,105.84,113.0,3.22,87.15,211.68,97.9
T002358,S27,2025-06-11,Electronics,1,NorthStar,West,282.64,334.75,22.0,3.62,91.42,334.75,52.11
T001458,S13,2025-02-22,Home,2,BudgetSource,East,41.92,77.24,61.0,2.52,67.33,154.48,70.64
T000907,S25,2025-02-13,Sports,2,ActivePro,West,55.74,107.29,51.0,5.6,198.19,214.58,103.1
T002675,S07,2025-01-27,Beauty,4,GlowWorks,North,19.53,47.81,28.0,3.12,65.32,191.24,113.12
T000456,S21,2025-01-09,Electronics,4,NorthStar,North,217.78,308.81,22.0,4.65,130.8,1235.24,364.12
T000983,S12,,Electronics,2,NorthStar,South,292.36,402.65,18.0,4.46,116.93,805.3,220.58
T001099,S11,2025-06-28,Home,3,BudgetSource,South,47.12,90.82,94.0,3.22,73.45,272.46,131.1
T001201,S24,2025-05-29,Home,1,BudgetSource,West,48.07,87.44,50.0,4.87,125.17,87.44,39.37
T002850,S26,2025-06-20,Grocery,2,FreshFarm,West,7.24,10.6,12.0,3.54,91.23,21.2,6.72
T000725,S22,2025-01-30,Grocery,2,FreshFarm,South,,11.59,106.0,4.19,117.45,23.18,
T000174,S06,2025-01-05,Home,2,BudgetSource,East,43.75,76.62,28.0,4.44,107.14,153.24,65.74
T001625,S03,2025-01-05,Apparel,1,StyleHub,North,32.65,63.48,34.0,5.25,130.96,63.48,30.83
T001903,S09,2025-03-19,Beauty,1,GlowWorks,East,23.32,57.84,102.0,3.85,90.06,57.84,34.52
